equipment;equipment_type
PANTSIR-S1;AD
ZSU-23/4;AD
SA-16;AD MP
SA-6;AD
SA-8 GECKO;AD
MTLB STRELA-10M;AD
SA-13 GOPHER;AD
SA-19 GRISON;AD MP
SA-18 IGLA;AD MP
SA-15 GAUNTLET;AD
SA-24 GRINCH;AD MP
Zu-23-2;AD
ZU-23-2M1;AD
SA-17 GRIZZLY / 9A317M;AD
SA-17 GRIZZLY / 9A316M;AD
SA-21;AD
SA-20;AD
SA-11 / BUK-M1;AD
SA-17;AD
S-300 TEL / SA-23;AD
S-300 TEL / SA-12;AD
9A51;MRL
BM-27;MRL
BM-30 SMERCH;MRL
BM-27M URAGAN -1M;MRL
BM-21 GRAD;MRL
TORNADO-G;MRL
130M46;FA
2A65;FA
2B14 PODNOS;FA
2S1 GVOZDIKA;FA
2S19;FA
2S19-M2;FA
2S3 AKATSIYA;FA
2S4;FA
2S7 PION;FA
2S9-1M NONA-SM;FA
2S9 NONA;FA
2S31 VENA;FA
82 PM-41;FA
2S12 SANI;FA
D-30;FA
D-30A;FA
SSC-7 SOUTHPAW;FA
SS-1C;FA
SS-21 B SCARAB;FA
ISKANDER-M 9M723;FA
SS-26;FA
ARK-1M;ART REL
PRP-4A ARGUS;ART REL
PRP-4;ART REL
AZK-7M 1B33M;ART REL
AZK-7;ART REL
T12-2M;ART REL
RPMK-1;ART REL
PRP-3;ART REL
1V152;ART REL
1V153;ART REL
1T12-2M;ART REL
BTY TECH VEH;ART REL
ISKANDER 9U91;ART REL
ISKANDER 9S920;ART REL
TV 9T238/9T222;ART REL
9T249;ART REL
9T250;ART REL
9T255;ART REL
9T217BM2;ART REL
9T243/9T3184;ART REL
9T244;ART REL
9T245;ART REL
9A84M TLV;ART REL
9A85M TLV;ART REL
BMD-1KSh;CMD
BMD-1R;APC
BMD-2M;APC
BMD-3;APC
BMD-KSh;CMD
BMP-2 Ksh;APC
BREM-2;APC
BREM-L BEGLIANKA;APC
BREM-D;APC
BTR-3D;APC
BTR-60/70;APC
BTR-70;APC
BTR-70KShM;APC
